envo_id,label,exact_synonyms,broad_synonyms,narrow_synonyms,related_synonyms
ENVO_01000229,mediterranean savanna biome,,,,
ENVO_01000047,mediterranean sea biome,,,,
ENVO_01000217,mediterranean shrubland biome,,,,
ENVO_01000208,mediterranean woodland biome,,,,
ENVO_01000431,mixed forest,,,,
ENVO_01000198,mixed forest biome,,,,
ENVO_01000448,mixed grassland,,mixed grassland,,
ENVO_01001836,montane biome,,,,
ENVO_01000185,montane desert biome,,,,
ENVO_01000435,montane forest,,,,
ENVO_01001808,montane grassland,,,,
ENVO_01000194,montane grassland biome,,,,
ENVO_01000223,montane savanna biome,,,,
ENVO_01000216,montane shrubland biome,,,,
ENVO_00005769,mountain forest soil,,,,
ENVO_08000002,mouth environment,,,,
ENVO_01000929,mushroom environment,,,,
ENVO_01001386,mussel reef,,,,
ENVO_01000951,natural environment,,,,
ENVO_01000433,needleleaf forest,coniferous forest,,,
ENVO_01000042,neritic epipelagic zone biome,,,,
ENVO_01000043,neritic mesopelagic zone biome,,,,
ENVO_01001380,neritic mussel reef,,,,
ENVO_01000032,neritic pelagic zone biome,,,,
ENVO_01000041,neritic sea surface microlayer biome,,,,
ENVO_03500007,noisy environment,,,,
ENVO_01001054,non-saline aerosol environment,,,,
ENVO_01001003,non-saline environment,,,,
ENVO_01001047,non-saline planetary subsurface environment,,,,
ENVO_01001049,non-saline sediment environment,,,,
ENVO_03501332,occupational environment,work environment,,,
ENVO_01000048,ocean biome,,,,
ENVO_01000038,oceanic abyssopelagic zone biome,,,,
ENVO_01000037,oceanic bathypelagic zone biome,,,,
ENVO_01000040,oceanic benthopelagic zone biome,,,,
ENVO_01000035,oceanic epipelagic zone biome,,,,
ENVO_01000039,oceanic hadal pelagic zone biome,,,,
ENVO_01000036,oceanic mesopelagic zone biome,,,,
ENVO_01001381,oceanic mussel reef,,,,
ENVO_01000033,oceanic pelagic zone biome,,,,
ENVO_01000034,oceanic sea surface microlayer biome,,,,
ENVO_03501101,outdoor environment,,,,
ENVO_01000060,particulate environmental material,,particulate matter,,
ENVO_01001046,planetary subsurface environment,,,,
ENVO_01001435,planned deforestation,,,,
ENVO_01001436,planned environmental usage process,,,,
ENVO_01001001,plant-associated environment,Viridiplantae-associated environment,plant environment,,
ENVO_00000119,planted forest,,,,
ENVO_01000339,polar biome,,,,
ENVO_01000186,polar desert biome,,,,
ENVO_01001703,polar environment,,,,
ENVO_01001625,polar tundra ecosystem,,,,
ENVO_01001629,polymetallic nodule ecosystem,manganese nodule ecosystem,,,polymetallic nodule field
ENVO_01000768,primary forest,,,,
ENVO_01000247,rangeland biome,,,,
ENVO_01001899,reef,,,,
ENVO_02500013,reforestation,,,,
ENVO_03501323,residential environment,,,,
ENVO_01000999,rhizosphere environment,,,,
ENVO_00000173,rocky desert,rock desert,desert,,
ENVO_00000130,rocky reef,REEF,,submerged reef|atoll reef|fringing reef|bank reef|shore reef|barrier reef,reef flat|reef|ledge|reefs
ENVO_01001840,safe environment,,,,
ENVO_03500008,safe environment for human presence,,,,
ENVO_01001839,safe environment for living organisms,,,,
ENVO_01001053,saline aerosol environment,,,,
ENVO_01001040,saline environment,,,,
ENVO_01001050,saline sediment environment,,,,
ENVO_01000307,saline water environment,,,,
ENVO_00000240,saline wetland,,,,
ENVO_00000172,sandy desert,,sandy area|desert,,
ENVO_01000178,savanna biome,,,,
ENVO_01000434,sclerophyllous forest,,,,
ENVO_01000321,sea water environment,ocean water environment,,,
ENVO_01001048,sediment environment,,,,
ENVO_03500010,shady environment,shaded environment,,,
ENVO_01000176,shrubland biome,,,,
ENVO_2100003,skin environment,,,,
ENVO_00000892,small freshwater lake biome,,,,
ENVO_00000890,small river biome,,,,
ENVO_01001044,soil environment,,,,
ENVO_01000814,solid environmental material,,,,
ENVO_09000001,solubility of carbon atom in environmental material,environmental material carbon atom solubility,,,
ENVO_09000010,solubility of nitrogen atom in environmental material,environmental material nitrogen atom solubility,,,
ENVO_00005784,spruce forest soil,,,,
ENVO_01001042,sterile water environment,,,,
ENVO_00000183,stony desert,,desert,,
ENVO_01001837,subalpine biome,,,,
ENVO_01001834,subpolar biome,,,,
ENVO_01000250,subpolar coniferous forest biome,,,boreal forest|taiga,
ENVO_01001704,subpolar environment,,,,
ENVO_01001812,subpolar grassland,,,,
ENVO_01001832,subtropical biome,,,,
ENVO_01001793,subtropical broadleaf forest,,,,
ENVO_01000201,subtropical broadleaf forest biome,,,,
ENVO_01000209,subtropical coniferous forest biome,,,,
ENVO_01000184,subtropical desert biome,,,,
ENVO_01001801,subtropical dry broadleaf forest,,,,
ENVO_01000225,subtropical dry broadleaf forest biome,,,,
ENVO_01001702,subtropical environment,,,,
ENVO_01001804,subtropical forest,,,,
ENVO_01001809,subtropical grassland,,,,
ENVO_01000191,subtropical grassland biome,,,,
ENVO_01001802,subtropical moist broadleaf forest,,,,
ENVO_01000226,subtropical moist broadleaf forest biome,,,,
ENVO_01000187,subtropical savanna biome,,,,
ENVO_01000213,subtropical shrubland biome,,,,
ENVO_01000222,subtropical woodland biome,,,,
ENVO_00000233,swamp ecosystem,swamp|Swamp,wetland,,cienaga
ENVO_01000432,swamp forest,,,,
ENVO_01001831,temperate biome,,,,
ENVO_01000397,temperate broadleaf evergreen forest,,,,
ENVO_01001794,temperate broadleaf forest,,,,
ENVO_01000202,temperate broadleaf forest biome,,,,
ENVO_01000211,temperate coniferous forest biome,,,,
ENVO_01000385,temperate deciduous broadleaf forest,,,,
ENVO_01000386,temperate deciduous needleleaf forest,,coniferous forest,,
ENVO_01000182,temperate desert biome,,,,
ENVO_01001705,temperate environment,,,,
ENVO_01000383,temperate evergreen needleleaf forest,,coniferous forest,,
ENVO_01001805,temperate forest,,,,
ENVO_01000398,temperate freshwater swamp forest,,,,
ENVO_01001811,temperate grassland,,,,
ENVO_01000193,temperate grassland biome,,prairie biome,,
ENVO_01000856,temperate marginal sea biome,,,,
ENVO_01000860,temperate marine upwelling biome,,,,
ENVO_01000857,temperate mediterranean sea biome,,,,
ENVO_01000389,temperate mixed broadleaf forest,,,,
ENVO_01001796,temperate mixed forest,,,,
ENVO_01000212,temperate mixed forest biome,,,,
ENVO_01000390,temperate mixed needleleaf forest,,,,coniferous forest
ENVO_01000189,temperate savanna biome,,prairie biome,,
ENVO_01000395,temperate sclerophyllous dry forest,,,,
ENVO_01000215,temperate shrubland biome,,prairie biome,,
ENVO_01000221,temperate woodland biome,,,,
ENVO_09200000,temperature of environmental material,environmental material temperature,,,
ENVO_00000446,terrestrial biome,,,,terrestrial realm
ENVO_01001570,terrestrial ecoregion,,,,
ENVO_01001790,terrestrial ecosystem,,,,
ENVO_01001199,terrestrial environmental zone,,,,
ENVO_01001226,terrestrial natural environment,,,,
ENVO_01001369,tidal mangrove shrubland,,,,
ENVO_01001830,tropical biome,,,,
ENVO_01001792,tropical broadleaf forest,,,,
ENVO_01000200,tropical broadleaf forest biome,,,,
ENVO_01000210,tropical coniferous forest biome,,,,
ENVO_01000387,tropical deciduous broadleaf forest,,,,rain forest
ENVO_01000183,tropical desert biome,,,,
ENVO_01001799,tropical dry broadleaf forest,,,,
ENVO_01000227,tropical dry broadleaf forest biome,,,,
ENVO_01001701,tropical environment,,,,
ENVO_01001803,tropical forest,,,,
ENVO_01000394,tropical freshwater swamp forest,,,,
ENVO_01001806,tropical grassland,,,,
ENVO_01000192,tropical grassland biome,,,,
ENVO_01000393,tropical lower montane forest,,,,
ENVO_01000384,tropical lowland evergreen broadleaf rain forest,,,,rain forest
ENVO_01001230,tropical marginal sea biome,,,,
ENVO_01000854,tropical marine coral reef biome,,,,
ENVO_01000376,tropical marine semi-evergreen forest,mesophytic ecosystem,semi-evergreen forest,,
ENVO_01000859,tropical marine upwelling biome,,,,
ENVO_01000402,tropical mixed broadleaf forest,,,,
ENVO_01001797,tropical mixed forest,,,,
ENVO_01001798,tropical mixed forest biome,,,,
ENVO_01000401,tropical mixed needleleaf forest,,,,coniferous forest
ENVO_01001800,tropical moist broadleaf forest,,,,
ENVO_01000228,tropical moist broadleaf forest biome,,,,rainforest biome
ENVO_01000399,tropical needleleaf forest,,coniferous forest,,
ENVO_01000188,tropical savanna biome,,,,
ENVO_01000396,tropical sclerophyllous dry forest,,,,
ENVO_01000388,tropical semi-deciduous broadleaf forest,,,,rain forest
ENVO_01000391,tropical semi-evergreen moist broadleaf forest,,,,rain forest
ENVO_01000214,tropical shrubland biome,,,,
ENVO_01000400,tropical thorn forest,,,,
ENVO_01000392,tropical upper montane forest,,,,
ENVO_01000220,tropical woodland biome,,,,
ENVO_01000180,tundra biome,,,,
ENVO_01001370,tundra ecosystem,,,,
ENVO_01000249,urban biome,,,,
ENVO_01001451,usage of an environment for business,,,,
ENVO_01001447,usage of an environment for community and social services,,,,
ENVO_01001449,usage of an environment for defence,,,,
ENVO_01001450,usage of an environment for industry,,,,
ENVO_01001445,usage of an environment for infrastructure and utilities,,transportation,,
ENVO_01001443,usage of an environment for recreation,,recreation|leisure,,
ENVO_01001446,usage of an environment for residential activity,,residential,,
ENVO_01001448,usage of an environment for retail activity,,,,
ENVO_01001444,usage of an environment for transportation,,transportation,,
ENVO_01000246,village biome,,,,
ENVO_03500011,violent environment,,,,
ENVO_01000449,wet meadow ecosystem,,,,
ENVO_00000043,wetland area,,,,WetlandRegion
ENVO_01001209,wetland ecosystem,Wetland|WETLAND,,barrier flat|EstuarineWetland|backswamp|slue|TerrestialWetland|RiparianWetland|LacustrineWetland|dismal|tulelands|slough|mud flat|peatland|peat cutting area|back marsh|PalustrineWetland|cienaga|quagmire|swamp forest|riparian area|forested wetland|floating marsh|mire|backwater|quaking bog|slash|blanket bog|bog|MarineWetland|everglade|marsh,muskeg|moor|morass
ENVO_01000175,woodland biome,,,,
ENVO_01001245,woodland ecosystem,,,,
ENVO_00000893,xeric basin biome,,,,
ENVO_01000218,xeric shrubland biome,,,,
